,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,queueId,counter,gameCreation,week
1589055736480,Blue,0,1,0,0,0,0,1,0,0,0,0,0,1,0,"[{'championId': 350, 'pickTurn': 1}, {'championId': 21, 'pickTurn': 3}, {'championId': 245, 'pickTurn': 5}, {'championId': 113, 'pickTurn': 8}, {'championId': 498, 'pickTurn': 10}]",Clash,1,1589055736480,7.0
1589052690913,Blue,1,1,1,1,1,0,1,11,3,2,3,0,2,0,"[{'championId': 350, 'pickTurn': 1}, {'championId': 41, 'pickTurn': 3}, {'championId': 112, 'pickTurn': 5}, {'championId': 81, 'pickTurn': 8}, {'championId': 51, 'pickTurn': 10}]",Clash,1,1589052690913,7.0
1589049437318,Blue,1,1,1,1,1,1,1,9,2,2,4,0,1,0,"[{'championId': 235, 'pickTurn': 1}, {'championId': 157, 'pickTurn': 3}, {'championId': 114, 'pickTurn': 5}, {'championId': 81, 'pickTurn': 8}, {'championId': 18, 'pickTurn': 10}]",Clash,1,1589049437318,7.0
1586724328573,Blue,1,0,1,1,1,1,1,8,1,1,4,0,2,0,"[{'championId': 24, 'pickTurn': 1}, {'championId': 69, 'pickTurn': 3}, {'championId': 92, 'pickTurn': 5}, {'championId': 86, 'pickTurn': 8}, {'championId': 8, 'pickTurn': 10}]",Clash,1,1586724328573,3.0
1586721539361,Red,0,0,0,0,0,0,1,3,0,0,2,0,2,0,"[{'championId': 26, 'pickTurn': 2}, {'championId': 45, 'pickTurn': 4}, {'championId': 113, 'pickTurn': 6}, {'championId': 145, 'pickTurn': 7}, {'championId': 99, 'pickTurn': 9}]",Clash,1,1586721539361,3.0
1586718333115,Blue,1,0,0,1,0,1,0,10,3,1,4,0,0,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 80, 'pickTurn': 3}, {'championId': 432, 'pickTurn': 5}, {'championId': 238, 'pickTurn': 8}, {'championId': 142, 'pickTurn': 10}]",Clash,1,1586718333115,3.0
1586634366296,Blue,0,1,1,1,0,1,1,9,3,0,3,0,2,0,"[{'championId': 90, 'pickTurn': 1}, {'championId': 154, 'pickTurn': 3}, {'championId': 80, 'pickTurn': 5}, {'championId': 61, 'pickTurn': 8}, {'championId': 86, 'pickTurn': 10}]",Clash,1,1586634366296,3.0
1586631157521,Red,1,1,1,1,0,1,1,9,1,1,4,0,2,0,"[{'championId': 67, 'pickTurn': 2}, {'championId': 77, 'pickTurn': 4}, {'championId': 120, 'pickTurn': 6}, {'championId': 119, 'pickTurn': 7}, {'championId': 78, 'pickTurn': 9}]",Clash,1,1586631157521,3.0
1586628450073,Red,1,1,1,1,1,1,1,11,3,1,4,0,2,0,"[{'championId': 157, 'pickTurn': 2}, {'championId': 875, 'pickTurn': 4}, {'championId': 131, 'pickTurn': 6}, {'championId': 516, 'pickTurn': 7}, {'championId': 112, 'pickTurn': 9}]",Clash,1,1586628450073,3.0
1585489204747,Red,0,0,0,0,0,1,1,1,0,0,1,0,1,0,"[{'championId': 44, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 4}, {'championId': 145, 'pickTurn': 6}, {'championId': 105, 'pickTurn': 7}, {'championId': 61, 'pickTurn': 9}]",Clash,1,1585489204747,1.0
1585486308905,Red,0,0,1,0,0,0,0,4,0,0,0,0,0,0,"[{'championId': 107, 'pickTurn': 2}, {'championId': 31, 'pickTurn': 4}, {'championId': 67, 'pickTurn': 6}, {'championId': 236, 'pickTurn': 7}, {'championId': 24, 'pickTurn': 9}]",Clash,1,1585486308905,1.0
